id,name_ch,match_title_zh,match_url,similarity,true_match
63,此時何時孤單之時,此時何時孤單之時,https://www.hymnal.net/zh/hymn/ch/92,1.0,TRUE
684,主舉愛旗遮蓋我們,主舉愛旗遮蓋我們,https://www.hymnal.net/zh/hymn/ch/174,1.0,TRUE
691,主阿我們聚集你前,主阿我們聚集你前,https://www.hymnal.net/zh/hymn/ch/625,1.0,TRUE
693,我們呼吸天上空氣,我們呼吸天上空氣,https://www.hymnal.net/zh/hymn/ch/623,1.0,TRUE
69,我每靜念那十字架,我每靜念那十字架,https://www.hymnal.net/zh/hymn/ch/85,1.0,TRUE
31,坦然無懼來到神前,坦然無懼來到神前,https://www.hymnal.net/zh/hymn/ch/240,1.0,TRUE
708,祂醫治我讚美祂名,祂醫治我讚美祂名,https://www.hymnal.net/zh/hymn/ch/549,1.0,TRUE
18,神聖之愛遠超眾愛,神聖之愛遠超眾愛,https://www.hymnal.net/zh/hymn/ch/274,1.0,TRUE
682,阿爸我們進前來,阿爸我們進前來,https://www.hymnal.net/zh/hymn/ch/47,1.0,TRUE
24,神哪你在聖所之內,神哪你在聖所之內,https://www.hymnal.net/zh/hymn/ch/28,1.0,TRUE
195,來阿你這萬福泉源,來阿你這萬福泉源,https://www.hymnal.net/zh/hymn/ch/250,1.0,TRUE
610,罪惡途中多年流蕩,罪惡途中多年流蕩,https://www.hymnal.net/zh/hymn/ch/736,1.0,TRUE
471,一路我蒙救主引領,一路我蒙救主引領,https://www.hymnal.net/zh/hymn/ch/508,1.0,TRUE
234,主你所有一切工作,主你所有一切工作,https://www.hymnal.net/zh/hymn/ch/367,1.0,TRUE
468,是愛的神作我牧人,是愛的神作我牧人,https://www.hymnal.net/zh/hymn/ch/444,1.0,TRUE
245,何等榮耀何等福氣,何等榮耀何等福氣,https://www.hymnal.net/zh/hymn/ch/217,1.0,TRUE
446,神的應許不能廢去,神的應許不能廢去,https://www.hymnal.net/zh/hymn/ch/482,1.0,TRUE
253,後是膏油先是血,後是膏油先是血,https://www.hymnal.net/zh/hymn/ch/227,1.0,TRUE
255,焚燒在我心內,焚燒在我心內,https://www.hymnal.net/zh/hymn/ch/207,1.0,TRUE
437,主阿即或盡是黑暗,主阿即或盡是黑暗,https://www.hymnal.net/zh/hymn/ch/505,1.0,TRUE
436,或這樣或那樣,或這樣或那樣,https://www.hymnal.net/zh/hymn/ch/513,1.0,TRUE
265,從前我亦曾熱心,從前我亦曾熱心,https://www.hymnal.net/zh/hymn/ch/353,1.0,TRUE
